N3,FIRES CELL,Fires,OP 3.2.7,3.1,"Directs staff to review HHQ guidance, SROE, and ROE for applicablity and planned actions coverage",,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 9.0 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.7,3.2,Directs creation of additional ROE requests as required,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 10.0 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.7,3.3,"Directs compliance with HHQ guidance, SROE, and ROE",,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 11 C311,Director of Fires
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,10.3,"Brief CM cell, MIOC Watch and MIOC analysis cells to inform about changes to subordinate maritime ISR collection",C323,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.7 11.1 C311,Director of Fires
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,12,Coordinate for force generation and replacement of combat losses to sustain the maritime campaign.,C323,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires TA 3.3.1  C311,Director of Fires
N3,FIRES CELL,Movement & Maneuver,OP 1.2.3,,Plan and Coordinate subordinate operations to Position Forces,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires TA 3.3.1 6.0 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.1.2,,Apportion Fires,C312,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1  C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.1.2,5.0,Complete targeting cycle planning.,C312,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 1.0 C311,Director of Fires
N3,FIRES CELL,C2,OP 5.3.1,,Conduct Mission Analysis,C313,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 2.0 C311,Director of Fires
N3,FIRES CELL,C2,OP 5.3.1,17.0,Prepare initial staff estimates.,C313,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 3.0 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.6.1,,Integrate Operations in the Information Environment,C313,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 4 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.6.1,7,Develop and coordinate affecting information targets through established targeting and fires processes to support scheme of maneuver (SoM) and scheme of fires (SoF).,C313,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 4.1 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.6.1,7.1,Develop targets in the information environment iso of schemes of manuveur and fires,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 5 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.2,,Operationally Integrate strategic plans to Conduct Non-Lethal Attack,C313,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 5.1 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.1.9,,Plan and Coordinate subordinate operations to Conduct Dynamic Targeting,C325,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 5.2 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.7,,Synchronize Operational Fires,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 6 C311,Director of Fires
N3,FIRES CELL,C2,OP 5.3.1,,Conduct Mission Analysis,C323,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 6.1 C311,Director of Fires
N3,FIRES CELL,C2,OP 5.3.1,17.0,Prepare initial staff estimates.,C323,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 6.2 C311,Director of Fires
N3,FIRES CELL,C2,OP 5.3.4,,Develop Courses of Action and Prepare Staff Estimates,C323,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 6.3 C311,Director of Fires
N3,FIRES CELL,C2,OP 5.3.4,13.0,Update staff estimates from each staff functional area that provide logical and orderly examination of C all factors that affect mission accomplishment.,C323,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 7.0 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.2,12,Synchronize operations with conventional l strike activities.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 8 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.2,,Operationally Integrate strategic plans to Conduct Non-Lethal Attack,C323,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 8.1 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.6,,Plan and Coordinate subordinate operations to Provide Fires,C323,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 8.2 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.7,,Synchronize Operational Fires,C323,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 8.3 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.7,,Synchronize Operational Fires,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 8.4 C311,Director of Fires
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,,Conduct Operations in Depth,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 9.0 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.1.1,,Develop Targeting Guidance,C325,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 10 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.1.1,9.0,Identify commander's level of acceptable risk for dynamic and time-sensitive targets.,C325,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 10.1 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.2.5,14.0,Develop Component Critical Target Matrix. ,C325,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 11 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.1.9,,Plan and Coordinate subordinate operations to Conduct Dynamic Targeting,C322,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 11.1 C311,Director of Fires
N3,FIRES CELL,Fires,OP 3.1.9,,Plan and Coordinate subordinate operations to Conduct Dynamic Targeting,C323,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 11.2 C311,Director of Fires
N3,FIRES CELL,Movement & Maneuver,MCT 1.12,,Operationally Integrate plans to Conduct Expeditionary Operations,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 11.3 C311,Director of Fires
N3,FIRES CELL,Movement & Maneuver,MCT 1.12,6.3,Direct Fires planning in support of expeditionary operations,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 11.4 C311,Director of Fires
N3,FIRES CELL,Movement & Maneuver,MCT 1.12,6.4,Facilitate approval of Fires plans in support of expeditionary operations ,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 12 C311,Director of Fires
N3,FIRES CELL,Movement & Maneuver,MCT 1.12,6.5,Direct the integration of approved fires plans into expeditionary operations,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 12.1 C311,Director of Fires
N3,FIRES CELL,Movement & Maneuver,MCT 1.12,6.6,Direct the promulagation of the scheme of fires and all fires plans in support of expeditionary operations,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 12.2 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,,Coordinate Electromagnetic Warfare (EW),C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 12.3 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,1,Synchronize EW with other non-kinetic and kinetic operations.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 14.0 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,1.1,Develops Fires Guidance.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 15 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,1.2,Promulgates Fires Guidance.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 15.1 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,1.3,Requests inputs for EW capabilities.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 16 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,1.4,Prioritizes EW efforts.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 16.1 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,1.5,Integrates EW efforts into scheme of fires.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 21 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,1.6,Promulgates scheme of fires to include EW efforts.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 21.1 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,1.7,Develops method for fires synchronization with operations.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.3  C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,1.8,Confirms fires execution.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.3 13 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,1.9,Requests fires assessment data.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.3 13.1 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,1.10,Assess fires effectiveness.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.3 13.2 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,1.11,Determine re-attack requirements.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.3 13.3 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,2,"Nominate frequencies to be effected into the targeting and fires processes, and those frequencies to be protected.",C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.3 13.4 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,2.1,Direct identification and collection of threat frequencies.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.3 13.5 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,2.2,Direct identification of required protected  (JRFL) frequencies.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.3 13.6 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,2.3,Direct anlysis of threat emittersand frequencies for inclusion in fires processes,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.3 13.7 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,2.4,Review imput and  nominate recommended emitters and frequencies.   ,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver MCT 1.12  C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.2,2.5,Facilitate approval of selected (threat and protected) emitters and frequencies through fires processes,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver MCT 1.12 6 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.1.1,,Plan and Coordinate subordinate operations to Conduct Electromagnetic Attack (EA),C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver MCT 1.12 6.1 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.1.1,2,Integrate OIE cell members into the targeting process and targeting CFTs.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver MCT 1.12 6.2 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.1.1,2.1,Identify EA planners for participation in Functional and Cross Functional Teams (CFTs & FTs),,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver MCT 1.12 6.3 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.1.1,2.2,Verify EA planners have appropriate clearance and access.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver MCT 1.12 6.4 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.1.1,2.3,Promulgate FT/CFT battle rythm to EA planners.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver MCT 1.12 6.5 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.1.1,11,Integrate and synchronize EA effects into Scheme of Fires .,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver MCT 1.12 6.6 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.1.1,11.1,Develop direction for subordinate units to support EA operations IAW fires guidance.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Protection TA 3.2.7  C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.1.1,11.2,Promulgates scheme of fires to include EA efforts.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Protection TA 3.2.7 13.0 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.1.1,11.3,Develops method for fires synchronization with operations.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Protection OP 6.1  C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.1.1,11.4,Confirms fires execution.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Protection OP 6.1 16.0 C311,Director of Fires
N3,FIRES CELL,Information,OP 5.9.1.1,11.5,Requests fires assessment data.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL C2 OP 5.3.1  C312,Fires Planner (FOPS)
N3,FIRES CELL,Information,OP 5.9.1.1,11.6,Assess fires effectiveness.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL C2 OP 5.3.1 17.0 C312,Fires Planner (FOPS)
N3,FIRES CELL,Information,OP 5.9.1.1,11.7,Determine re-attack requirements.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Information OP 5.6.1  C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.1,,Identify Target Collection Requirements,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Information OP 5.6.1 7 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.1,5.0,"Ensure collection requirements include support to OTHT and battlespace awareness for dynamic targeting. (e.g. NIFE, TIFE, NOTCH)",,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Information OP 5.6.1 7.1 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.1,7.0,Provide collection requirements and priorities to support target development and pre- and post-strike analysis.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2  C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.2,,Conduct Target Development,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 2 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.2,2,Identify targets to achieve desired lethal or non-lethal effects through kinetic or non-kinetic capabilities .,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 2.1 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.2,2.1,Direct collection of threat systems for targeting,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 2.2 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.2,2.2,Direct priorization of targets for target development,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 2.3 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.2,2.3,Facilitates decision brief for approval of target priorities ,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 2.4 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.2,6.0,Disseminate approved target lists.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 4.0 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.4.1,,Conduct Battle Damage Assessment,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 5.0 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.4.1,4,"Coordinate follow-on operations or execute restrike, pending BDA.",C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 8 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.4.1,4.1,Requests fires assessment data.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 8.1 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.4.1,4.2,Assess fires effectiveness.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 8.2 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.4.1,4.3,Determine re-attack requirements.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 8.3 C312,Fires Planner (FOPS)
N3,FIRES CELL,Intelligence,OP 2.8.4.1,4.4,Provide target re-strike direction.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 8.4 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.1.1,2,"Develop objectives, guidance and intent for Maritime Dynamic Targeting.",C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 8.5 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.1.1,2.2,Directs scheme of sensors plan.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.2 9.0 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.1.1,2.4,Directs creation of attack guidance matrix.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1  C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.1.1,2.5,Facilitates decision brief for approval of Attack Guidance Matrix (ATGM).,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 1.0 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.1.1,2.6,Promulgates approved Attack Guidance Matrix (ATGM).,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 5 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.1.1,3.0,Develop subordinate targeting and release authorities.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 5.1 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.1.1,8,Develop TTP to detect dynamic and time-sensitive targets that were anticipated in commander's guidance.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 5.2 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.1.1,8.1,Directs development of scheme of sensors.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 5.3 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.1.1,10.1,Directs collection of partner capabilities and limitations.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 5.4 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.1.9,3,Install measures to minimize incidents of fratricide or friendly interference resulting from attacking dynamic target.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 5.5 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.2.5,,Plan and Coordinate subordinate operations to Interdict Targets,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 7.0 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.2.5,1,Consider available kinetic and non-kinetic capabilities considered.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.4  C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.2.5,1.1,Direct collection of available assets/capabilities to interdict targets.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.4 3 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.2.5,1.2,Direct planning of available assets/capabilities for target interdiction.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.4 3.1 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.2.5,1.3,Direct collection of available munitions ,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.4 3.2 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.2.5,3.1,Presents MOC fires priorities to HHQ for inclusion and joint approval.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.4 3.3 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.2.5.1,,Plan and Coordinate subordinate operations to Conduct Air Interdiction (AI),C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.4 3.4 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.2.5.1,1,Consider available kinetic and non-kinetic capabilities for air intercept.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.4 3.5 C312,Fires Planner (FOPS)
N3,FIRES CELL,Fires,OP 3.2.5.1,1.1,Direct collection of threat systems requiring air interdiction,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL C2 OP 5.3.1  C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.1,1.2,Direct collection of available assets/capabilities to interdict air targets.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL C2 OP 5.3.1 17.0 C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.1,1.3,Direct collection of available air interdiction munitions,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Information OP 5.6.1  C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.1,2,Coordinate with supporting components to maritime and over water air operations.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Information OP 5.6.1 7 C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.1,2.1,Direct collection of threat systems requiring air interdiction,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Information OP 5.6.1 7.1 C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.1,2.2,Direct collection of available assets/capabilities to interdict air targets.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Information OP 5.6.1 7.2 C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.1,2.3,Direct collection of available air interdiction munitions,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Information OP 5.6.1 7.3 C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.1,3,"Coordinate priorities with HHQs and adjacent commanders, particularly JFACC.",C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.2  C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.1,3.1,Direct creation of air interdiction prioirites,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.2 3 C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.1,3.2,Presents MOC air interdiction priorities to HHQ for inclusion and joint approval.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.2.2 3.1 C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.1,3.3,Directs the incorporation of approved air interdiction priorities into operational guidance and apportionment.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1  C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.3,,Plan and Coordinate subordinate Interdiction Operations (All Domain Prosecution),C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 1.0 C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.3,1,Consider available kinetic and non-kinetic capabilities for intercept and prosecution.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1 3.0 C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.3,1.1,Direct collection of threat systems requiring interdiction,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.4  C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.3,1.2,Direct collection of available assets/capabilities to interdict targets.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Movement & Maneuver OP 1.2.4 3.0 C313,Fires Planner (FPLANS)
N3,FIRES CELL,Fires,OP 3.2.5.3,1.3,Direct collection of available interdiction munitions,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.8.1  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.5.3,2,Coordinate with supporting components for operations in the supported maritime area or assigned domain.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.8.1 7 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.5.3,2.1,Direct collection of threat systems requiring interdiction,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.8.1 7.1 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.5.3,2.2,Direct collection of available assets/capabilities to interdict targets.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.8.1 7.2 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.5.3,2.3,Direct collection of available interdiction munitions,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.8.1 7.3 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.5.3,3,Coordinate priorities with HHQs and adjacent commander(s).,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.8.2  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.5.3,3.1,Direct creation of air interdiction prioirites,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.8.2 2 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.5.3,3.2,Presents MOC interdiction priorities to HHQ for inclusion and joint approval.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.8.2 2.1 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.2.5.3,3.3,Directs the incorporation of approved interdiction priorities into operational guidance and apportionment.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.8.2 18 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.2,,Apportion Fires,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Intelligence OP 2.8.2 18.1 C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.2,1.0,Apportion fires assets to targets and target sets per HHQ guidance.,,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.1  C322,Tomahawk Strike Mission Planning Cell Lead
N3,FIRES CELL,Fires,OP 3.1.2,3,Integrate employment of kinetic and non-kinetic capabilities to achieve lethal and non-lethal effects  with fires apportionment planning.,C311,,,,,,,,,,,,,,,,,,,N3 FIRES CELL Fires OP 3.1.1 12.0 C322,Tomahawk Strike Mission Planning Cell Lead
